Name,Z (in),,X (in),Y (in),X (mm),Y (mm),Z (mm),Comment
M_TOP463_MOVE,30.2590,31.1340,6.5330,0.3335,165.9382,8.4709,768.5786,
M_TOP462_MOVE,46.4151,47.2901,-6.5571,0.3334,-166.5503,8.4684,1178.9435,
M_TOP461_MOVE,30.6697,31.5447,-7.0298,0.3328,-178.5569,8.4531,779.0104,
M_TOP461_ADJ,30.6689,31.5439,-7.0301,0.3326,-178.5645,8.4480,778.9901,Measure to 46 after adjustment
M_TOP462_ADJ,46.4147,47.2897,-6.5573,0.3309,-166.5554,8.4049,1178.9334,
M_TOP463_ADJ,30.2590,31.1340,6.5327,0.3337,165.9306,8.4760,768.5786,
M_TOP464_ADJ,46.0038,46.8788,7.0080,0.3334,178.0032,8.4684,1168.4965,
M_TOP464_MOVE2,46.0040,46.8790,7.0079,0.3342,178.0007,8.4887,1168.5016,Measure top 46 after removing
M_TOP463_MOVE2,30.2589,31.1339,6.5328,0.3343,165.9331,8.4912,768.5761,
M_TOP462_MOVE2,46.4146,47.2896,-6.5578,0.3321,-166.5681,8.4353,1178.9308,
M_TOP461_MOVE2,30.6693,31.5443,-7.0298,0.3328,-178.5569,8.4531,779.0002,
M_TOP461_CHK2,30.6691,31.5441,-7.0295,0.3328,-178.5493,8.4531,778.9951,Measure top 45 after reattaching hoses
M_TOP462_CHK2,46.4145,47.2895,-6.5571,0.3320,-166.5503,8.4328,1178.9283,
M_TOP463_CHK2,30.2593,31.1343,6.5326,0.3335,165.9280,8.4709,768.5862,
M_TOP464_CHK2,46.0044,46.8794,7.0089,0.3333,178.0261,8.4658,1168.5118,
